epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4481.07,2.07601,1.16127,2.3222,0.94745,0.94268,0.97438,0.66296,2.50929,0.97979,2.58025,0.0005941,0.0005941,0.0005941
43,4587.23,2.07018,1.17412,2.32721,0.95373,0.93451,0.97192,0.66975,2.52166,0.97798,2.58465,0.0005842,0.0005842,0.0005842
44,4693.25,2.07033,1.16476,2.32726,0.94096,0.92974,0.9686,0.66856,2.44534,1.01392,2.58036,0.0005743,0.0005743,0.0005743
45,4799.24,2.03632,1.14563,2.30464,0.94949,0.93052,0.97207,0.66674,2.45237,0.96606,2.48592,0.0005644,0.0005644,0.0005644
46,4905.47,2.04479,1.1169,2.30311,0.95108,0.93494,0.96794,0.6643,2.47752,1.02105,2.52373,0.0005545,0.0005545,0.0005545
47,5011.18,2.03855,1.13065,2.30611,0.93332,0.92723,0.96392,0.66451,2.48725,1.08753,2.55985,0.0005446,0.0005446,0.0005446
48,5116.97,2.01503,1.12552,2.3034,0.93492,0.91635,0.95398,0.65482,2.57304,1.05704,2.62769,0.0005347,0.0005347,0.0005347
49,5222.43,2.01241,1.14183,2.29275,0.93444,0.92531,0.96542,0.66686,2.49413,1.04609,2.58852,0.0005248,0.0005248,0.0005248
50,5328.94,2.0064,1.11505,2.28604,0.94426,0.93155,0.9644,0.65403,2.56088,1.06713,2.60511,0.0005149,0.0005149,0.0005149
51,109.327,1.97985,1.12478,2.28387,0.94683,0.92813,0.97242,0.65953,2.53263,0.9897,2.62466,0.000505,0.000505,0.000505
52,218.845,1.96443,1.08926,2.2643,0.93705,0.94008,0.97439,0.66368,2.5479,0.95084,2.59296,0.0004951,0.0004951,0.0004951
53,326.101,1.95228,1.07712,2.26327,0.94276,0.91954,0.96185,0.66425,2.50552,1.09538,2.56194,0.0004852,0.0004852,0.0004852
54,433.107,1.95132,1.07944,2.27047,0.95162,0.91362,0.96504,0.6683,2.46955,0.96966,2.54695,0.0004753,0.0004753,0.0004753
55,541.002,1.9499,1.05026,2.26143,0.94799,0.91685,0.96577,0.66598,2.53907,1.06042,2.59109,0.0004654,0.0004654,0.0004654
56,651.287,1.96528,1.06307,2.27239,0.93586,0.93316,0.96747,0.66368,2.52122,1.12234,2.6301,0.0004555,0.0004555,0.0004555
57,759.521,1.91056,1.03879,2.2449,0.95954,0.93683,0.97454,0.67608,2.50995,0.97972,2.59841,0.0004456,0.0004456,0.0004456
58,870.214,1.89666,1.02658,2.23169,0.93666,0.94189,0.96878,0.67241,2.49997,1.01836,2.61219,0.0004357,0.0004357,0.0004357
59,980.325,1.88937,1.00689,2.23211,0.9389,0.92633,0.96691,0.67228,2.48004,1.01706,2.58347,0.0004258,0.0004258,0.0004258
60,1089.36,1.91295,1.03195,2.25814,0.95853,0.93917,0.97008,0.67402,2.52235,0.93051,2.61946,0.0004159,0.0004159,0.0004159
61,1198.79,1.8729,1.00359,2.23437,0.95108,0.92852,0.97003,0.67542,2.51435,0.99195,2.63714,0.000406,0.000406,0.000406
62,1306.93,1.88702,0.99952,2.23677,0.95357,0.93333,0.96751,0.66813,2.51801,0.98528,2.62113,0.0003961,0.0003961,0.0003961
63,1415.93,1.8539,1.00252,2.20598,0.94997,0.93583,0.96798,0.67128,2.55296,1.00559,2.666,0.0003862,0.0003862,0.0003862
64,1525.12,1.8566,0.99345,2.21725,0.95695,0.95019,0.97032,0.66886,2.57264,0.9083,2.63121,0.0003763,0.0003763,0.0003763
65,1634.09,1.82876,0.98146,2.20405,0.95554,0.93267,0.9712,0.67394,2.53536,0.95275,2.62007,0.0003664,0.0003664,0.0003664
66,1743.55,1.85181,0.99373,2.21831,0.95028,0.93389,0.96806,0.66578,2.5159,0.96711,2.57191,0.0003565,0.0003565,0.0003565
67,1852.84,1.82217,0.96538,2.20438,0.95231,0.91908,0.96772,0.66698,2.53827,1.06327,2.62923,0.0003466,0.0003466,0.0003466
68,1961.05,1.80039,0.95208,2.20291,0.94027,0.94236,0.96588,0.67093,2.54626,1.05352,2.63543,0.0003367,0.0003367,0.0003367
69,2069.37,1.80275,0.94208,2.1891,0.95922,0.93535,0.9703,0.66515,2.56324,0.99816,2.62436,0.0003268,0.0003268,0.0003268
70,2179.51,1.80187,0.95486,2.19728,0.95806,0.93432,0.97093,0.67273,2.55092,0.9883,2.62773,0.0003169,0.0003169,0.0003169
71,2288.51,1.79951,0.94687,2.19109,0.94834,0.94308,0.96805,0.66275,2.58535,0.98498,2.64234,0.000307,0.000307,0.000307
72,2396.77,1.7619,0.9117,2.17951,0.94855,0.9424,0.96845,0.67137,2.56023,1.02289,2.59637,0.0002971,0.0002971,0.0002971
73,2506.23,1.75146,0.91208,2.17432,0.96626,0.92667,0.96997,0.67223,2.59527,1.00907,2.65409,0.0002872,0.0002872,0.0002872
74,2614.45,1.76049,0.9065,2.17493,0.94748,0.92045,0.96531,0.6699,2.52295,1.04272,2.57799,0.0002773,0.0002773,0.0002773
75,2722.22,1.73518,0.92211,2.16439,0.95708,0.92614,0.96972,0.67343,2.52916,0.97782,2.63908,0.0002674,0.0002674,0.0002674
76,2830.76,1.75198,0.91977,2.15596,0.95775,0.93866,0.97051,0.66594,2.56342,0.95556,2.61924,0.0002575,0.0002575,0.0002575
77,2938.33,1.72601,0.91411,2.14813,0.96908,0.93843,0.9736,0.67222,2.59207,0.93121,2.64967,0.0002476,0.0002476,0.0002476
78,3045.93,1.70819,0.89235,2.14548,0.95698,0.94203,0.97241,0.66915,2.61669,0.99324,2.68753,0.0002377,0.0002377,0.0002377
79,3153.44,1.69293,0.87902,2.1434,0.93987,0.95292,0.97084,0.67051,2.57025,0.97684,2.65995,0.0002278,0.0002278,0.0002278
80,3262.07,1.6993,0.87656,2.14746,0.95149,0.94531,0.97183,0.67326,2.62135,1.00967,2.69242,0.0002179,0.0002179,0.0002179
81,3369.41,1.67973,0.87743,2.13822,0.94807,0.94813,0.97051,0.67094,2.61147,0.99078,2.6649,0.000208,0.000208,0.000208
82,3476.26,1.67966,0.88293,2.14084,0.94807,0.94249,0.97233,0.67248,2.59761,1.01697,2.67339,0.0001981,0.0001981,0.0001981
83,3584.08,1.65402,0.85861,2.12518,0.94389,0.94911,0.97068,0.66878,2.6048,1.08812,2.69086,0.0001882,0.0001882,0.0001882
84,3691.03,1.62914,0.86459,2.11183,0.9544,0.94265,0.96939,0.6751,2.59386,1.04511,2.67507,0.0001783,0.0001783,0.0001783
